Date,Amount,Location,Store,Fraudulent
1996-05-16,486.46,North Robertfort,Martinez and Sons,False
1980-10-01,239.52,Lake Fernando,Wong-Robinson,True
1975-08-17,372.7,East Trevorville,"Clark, Cooper and Byrd",False
1974-04-14,314.18,South Johnathanland,Mccoy LLC,True
2011-05-31,955.73,Lake Patrick,Dennis and Sons,False
1976-06-25,986.14,South Cody,"Thompson, Knox and Jones",False
2013-06-10,175.76,Port Elizabethview,Becker Inc,True
2022-03-26,249.99,Wilsonshire,Fisher-Ortiz,True
2016-02-05,384.07,Samuelview,Evans-Williams,True
1978-07-24,103.34,South Tina,Morris LLC,True
1975-07-16,406.21,Hillburgh,"Adkins, Castillo and Nelson",False
1996-01-05,486.14,Lisastad,Powers-Briggs,False
1988-09-15,847.15,Elizabethchester,Robinson-Perkins,True
1972-07-23,186.64,Jonathanberg,"Navarro, Pratt and Daniels",True
2004-06-06,53.2,Mullenborough,Santos-Delgado,False
2000-01-23,603.32,Lake James,"Dawson, Rivera and Peterson",False
1981-05-20,142.05,North Kevin,"Gray, Serrano and Lewis",False
2017-06-05,928.58,North Laurenville,"Evans, Thomas and Lopez",False
2022-04-17,799.32,Port Kimberly,White-Beck,False
1972-11-22,444.13,Brownstad,"Allen, Snyder and Mccarthy",False
2012-10-10,986.0,Butlerhaven,Diaz-Brown,False
2016-04-03,600.74,Michelleburgh,White Group,False
2018-04-04,790.86,East Omarland,Johnson-Acevedo,True
2014-03-30,153.5,Lake Mary,Horne-Moody,False
2000-04-01,811.76,Fullerside,Wilkerson-Jones,True
1989-04-09,366.74,Maryland,Mccarthy LLC,True
1970-02-16,168.6,Erikaland,Ward-Cordova,False
2000-08-04,679.58,North Kara,"King, Smith and Howe",False
2011-02-17,400.6,New Rachelfurt,Clark Ltd,True
1998-11-05,899.56,South Jessica,"Clements, Cruz and Lee",False
2005-08-17,219.62,Dawnfort,Williams-Harris,False
2004-12-18,784.12,New Ericfort,Meyer LLC,True
1976-07-22,116.34,West Jessicafurt,Moody Ltd,False
1972-08-12,87.5,Rachaelview,Moore-Meyer,False
2006-10-31,610.18,East Joshuabury,Henderson and Sons,False
2014-08-08,904.88,Lake Chelseaton,Juarez-Mcbride,True
1997-12-14,11.01,Port Jenniferchester,"Huang, Mclean and Simmons",False
2008-10-24,505.41,New Patrickchester,Davis LLC,True
1989-12-08,758.46,Thomasfurt,Simpson-Gomez,True
2005-03-13,472.05,South Michaeltown,"Douglas, Gonzalez and Thompson",False
1983-04-27,653.68,Joshuaport,Gonzalez PLC,True
2008-04-16,790.66,Jonathanfort,Garcia Group,False
2016-10-29,237.99,West Anna,Hansen and Sons,False
1998-05-01,142.53,West George,Hall-Nelson,False
1970-07-24,896.89,Lake Danielfurt,"Hancock, Curtis and Johnson",False
2002-04-07,171.63,Johnbury,Martinez-Allen,True
1976-05-24,137.12,Henryside,Graves-King,False
1972-05-08,924.16,North Michaelhaven,"Boyd, Marquez and Gardner",False
1988-12-26,482.14,North Benjaminchester,Jenkins-Sparks,False
1989-05-02,295.36,Wrightmouth,"Nichols, Guzman and Salas",False
